COUNTRIES,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),56200000.0,52040000.0,46080000.0,48960000.0,48820000.0,48280000.0
European Union - 28 countries (2013-2020),60020000.0,56690000.0,51990000.0,55010000.0,56290000.0,56000000.0
Belgium,2820172.0,2980026.0,3382031.0,3723370.0,3956126.0,4148524.0
Bulgaria,115129.0,201287.0,265736.0,316594.0,333380.0,416299.0
Czechia,302503.0,237816.0,197001.0,243239.0,291437.0,288168.0
Denmark,304087.0,297531.0,856390.0,567909.0,696947.0,661573.0
Germany,10811948.0,11712778.0,11933261.0,12739432.0,12806210.0,13324306.0
Estonia,871299.0,816433.0,551233.0,434277.0,182251.0,133007.0
Ireland,507977.0,204092.0,318421.0,296419.0,212173.0,302790.0
Greece,349810.0,120974.0,91782.0,94996.0,75416.0,55045.0
Spain,1623798.0,1246941.0,1071744.0,1069621.0,1115862.0,994251.0
France,8945056.0,6051260.0,6154461.0,6749683.0,7201717.0,7702542.0
Croatia,174483.0,97097.0,91069.0,92889.0,95342.0,126127.0
Italy,3759996.0,3847633.0,4338715.0,4486957.0,5253102.0,5105040.0
Cyprus,24032.0,6205.0,3966.0,4395.0,6525.0,9263.0
Latvia,86820.0,55677.0,79084.0,70356.0,56670.0,144579.0
Lithuania,300265.0,181633.0,125753.0,142815.0,157081.0,151454.0
Luxembourg,111181.0,87385.0,79653.0,83153.0,74859.0,76789.0
Hungary,287133.0,241504.0,143445.0,159293.0,132337.0,92637.0
Malta,8172.0,13363.0,14601.0,10097.0,9738.0,10231.0
Netherlands,2568304.0,2575974.0,2576366.0,2630635.0,2711032.0,3068973.0
Austria,1294506.0,887657.0,1170038.0,1658305.0,1375855.0,1265171.0
Poland,3507510.0,3949300.0,3864365.0,2565358.0,2104833.0,1262101.0
Portugal,373381.0,301141.0,254016.0,333295.0,400528.0,525109.0
Romania,2339539.0,2072320.0,2289602.0,3283624.0,2732109.0,2840933.0
Slovenia,333880.0,338655.0,275470.0,148184.0,94192.0,91169.0
Slovakia,239130.0,400756.0,253735.0,414153.0,449509.0,496310.0
Finland,12281326.0,11940980.0,4230770.0,4738039.0,4371362.0,3135178.0
Sweden,1863353.0,1170837.0,1465971.0,1905525.0,1925568.0,1850463.0
Iceland,16972.0,16058.0,17755.0,25157.0,27179.0,48867.0
Liechtenstein,3650.0,2084.0,794.0,1760.0,918.0,133.0
Norway,1205702.0,1409417.0,770348.0,855518.0,802333.0,898825.0
United Kingdom,3816092.0,4650950.0,5910857.0,6043084.0,7467562.0,7467562.0
Bosnia and Herzegovina,212288.0,237225.0,194432.0,196578.0,220593.0,212613.0
Montenegro,12945.0,9986.0,9494.0,12945.0,25934.0,18022.0
North Macedonia,6255.0,1998.0,1420.0,179930.0,5367.0,9418.0
Serbia,27129.0,53960.0,57834.0,97507.0,68244.0,73966.0
Türkiye,175542.0,181024.0,268208.0,338166.0,692576.0,452513.0
Kosovo*,1685.0,1618.0,1280.0,1685.0,10936.0,3970.0
