COUNTRIES,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),383280000.0,368510000.0,407280000.0,431790000.0,468480000.0,448060000.0
European Union - 28 countries (2013-2020),428830000.0,414940000.0,466630000.0,494050000.0,530610000.0,530610000.0
Belgium,3923085.0,3177487.0,4177320.0,3021174.0,2904679.0,2815477.0
Bulgaria,49307.0,108951.0,174167.0,162673.0,74535.0,332480.0
Czechia,6933102.0,6417517.0,8076146.0,7939112.0,13415730.0,15855061.0
Denmark,3030358.0,3822724.0,6975342.0,7750229.0,6764309.0,6087665.0
Germany,104413608.0,107537293.0,117046655.0,123131444.0,129542693.0,127294940.0
Estonia,380902.0,547319.0,425138.0,757417.0,1599472.0,1670289.0
Ireland,1094612.0,1126244.0,2799029.0,2771311.0,2123689.0,4312901.0
Greece,874.0,2322.0,2193.0,375503.0,1730862.0,1884728.0
Spain,200775.0,219300.0,14861601.0,23412949.0,24729360.0,18862419.0
France,182679045.0,173494398.0,156870967.0,154620543.0,165655741.0,145874313.0
Croatia,73038.0,393279.0,328916.0,585350.0,582492.0,506588.0
Italy,15363884.0,12925582.0,11866626.0,14176272.0,14012126.0,14717097.0
Cyprus,944917.0,837672.0,477745.0,538195.0,715245.0,645110.0
Latvia,4497.0,60830.0,21573.0,15701.0,4571.0,25786.0
Lithuania,43864.0,63552.0,42072.0,78265.0,44297.0,69831.0
Luxembourg,8293672.0,6527050.0,5616889.0,7837032.0,6977894.0,7103413.0
Hungary,919925.0,1010279.0,1633381.0,1804764.0,3808105.0,3148391.0
Malta,47.0,56.0,56.0,56.0,65.0,56.0
Netherlands,7327270.0,7016739.0,6175477.0,7278867.0,7720984.0,7269962.0
Austria,24740592.0,26750750.0,30506098.0,34289309.0,37440449.0,40785648.0
Poland,16823208.0,10958680.0,13393112.0,16559347.0,12440140.0,20708526.0
Portugal,198673.0,264457.0,573785.0,766937.0,338234.0,421848.0
Romania,205343.0,375761.0,958642.0,285150.0,618596.0,1105647.0
Slovenia,164072.0,155261.0,547191.0,1158742.0,3022189.0,2887034.0
Slovakia,698573.0,196912.0,546280.0,668354.0,1542577.0,1176421.0
Finland,62346.0,25374.0,17502935.0,16378694.0,21789333.0,13365262.0
Sweden,4711449.0,4489475.0,5683966.0,5414690.0,8885143.0,9125163.0
Iceland,633.0,2329.0,14586.0,75172.0,120176.0,112443.0
Liechtenstein,107.0,85.0,513986.0,441544.0,387787.0,501850.0
Norway,3920.0,3920.0,35982.0,42613.0,2702226.0,2749005.0
United Kingdom,45550666.0,46439109.0,59345376.0,62258665.0,62009410.0,62009410.0
Bosnia and Herzegovina,28966.0,20771.0,29189.0,42538.0,26861.0,25473.0
Montenegro,101918.0,101918.0,104678.0,130235.0,140396.0,142646.0
North Macedonia,58.0,1219.0,9828.0,1186.0,6447.0,2461.0
Serbia,5727.0,256909.0,186650.0,297481.0,209297.0,222365.0
Türkiye,1312750.0,672481.0,950201.0,496429.0,364864.0,208924.0
Kosovo*,1045.0,1045.0,1045.0,1125.0,13507.0,45648.0
