COUNTRIES,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),4870000.0,8700000.0,10180000.0,8350000.0,9110000.0,9360000.0
European Union - 28 countries (2013-2020),6170000.0,9740000.0,11390000.0,9300000.0,10200000.0,10200000.0
Belgium,553359.0,285984.0,718863.0,855289.0,880179.0,1062244.0
Bulgaria,782.0,31485.0,64157.0,14709.0,58419.0,46330.0
Czechia,59333.0,179633.0,65759.0,63983.0,110299.0,92702.0
Denmark,13862.0,23310.0,5645.0,7300.0,7199.0,15012.0
Germany,335614.0,427983.0,367680.0,432850.0,550185.0,611182.0
Estonia,17845.0,21173.0,52237.0,22472.0,19164.0,70102.0
Ireland,8114.0,599198.0,442708.0,357423.0,74273.0,92280.0
Greece,2033.0,1643.0,2837.0,3945.0,276892.0,324873.0
Spain,578842.0,293629.0,253837.0,186107.0,231395.0,263945.0
France,318201.0,564708.0,463160.0,476887.0,606412.0,765274.0
Croatia,28.0,1879.0,5201.0,6489.0,5023.0,4312.0
Italy,1661525.0,4980368.0,6657948.0,4817167.0,5006550.0,4583392.0
Cyprus,12472.0,12408.0,7027.0,9535.0,14084.0,17830.0
Latvia,24487.0,9927.0,24487.0,54951.0,6394.0,133498.0
Lithuania,5702.0,869.0,820.0,943.0,678.0,4217.0
Luxembourg,100.0,65.0,30.0,70.0,348.0,8994.0
Hungary,206885.0,144791.0,138265.0,157982.0,244141.0,347028.0
Malta,135.0,4542.0,3602.0,6584.0,9187.0,3773.0
Netherlands,118857.0,310968.0,233959.0,240921.0,294837.0,250938.0
Austria,59156.0,84636.0,89933.0,99583.0,108489.0,129035.0
Poland,139338.0,221838.0,33141.0,46327.0,43452.0,28797.0
Portugal,318906.0,74698.0,158947.0,94153.0,79786.0,35790.0
Romania,11244.0,19662.0,8155.0,46042.0,55226.0,19579.0
Slovenia,70101.0,27594.0,8615.0,3512.0,3485.0,2257.0
Slovakia,132913.0,136134.0,163094.0,181650.0,158977.0,121938.0
Finland,91484.0,89902.0,81231.0,72904.0,111311.0,181966.0
Sweden,157930.0,146827.0,132730.0,95114.0,154898.0,137861.0
Iceland,33.0,60.0,60.0,60.0,87.0,60.0
Liechtenstein,62.0,62.0,284.0,90.0,33.0,30.0
Norway,611.0,611.0,611.0,611.0,904.0,318.0
United Kingdom,1299479.0,1044715.0,1209787.0,944946.0,1079641.0,1115714.0
Bosnia and Herzegovina,10.0,10.0,10.0,10.0,10.0,10.0
Montenegro,16.0,16.0,16.0,16.0,15.0,17.0
North Macedonia,50.0,50.0,229.0,50.0,45.0,50.0
Serbia,38.0,74.0,200.0,240.0,180.0,216.0
Türkiye,24920.0,6002.0,5988.0,71333.0,391702.0,521396.0
Kosovo*,1.0,1.0,1.0,1.0,1.0,1.0
